WKT,Name,Beschreibung
"POINT (13.6666974 51.0648777)",Briesnitz,
"POINT (13.7370842 51.0533058)",Dresden Sophienkirche,
"POINT (13.7275172 51.0487463)",Dresden Annenkirche,
"POINT (13.7474104 51.0468871)",Dresden-Böhmische Exulantengemeinde
,
"POINT (13.7415216 51.05187340000001)",Dresden Frauenkirche
,
"POINT (13.7160129 51.06037449999999)",Dresden Friedrichstadt
,
"POINT (13.7180583 51.0587747)",Dresden Friedrichstadt Krankenhaus
,
"POINT (13.739197 51.04872760000001)",Dresden Kreuzkirche ,
"POINT (13.7502987 51.0705963)",Dresden Dreikönigskirche,
"POINT (13.7709291 51.19687270000001)",Großdittmannsdorf,
"POINT (13.9208698 51.0895834)",Großerkmannsdorf,
"POINT (13.8407979 51.1645025)",Grünberg,
"POINT (13.8605695 51.01574919999999)",Hosterwitz,
"POINT (13.6848657 51.0826635)",Kaditz,
"POINT (13.9488914 51.0968345)",Kleinwolmsdorf,
"POINT (13.7464999 51.1154638)",Klotzsche,
"POINT (13.6160761 51.10545949999999)",Kötzschenbroda,
"POINT (13.8438751 51.1273044)",Langebrück,
"POINT (13.8094254 51.1449636)",Lausa,
"POINT (13.8306906 51.01008359999999)",Leuben,
"POINT (13.7698131 51.01402299999999)",Leubnitz
,
"POINT (13.8089412 50.9880675)",Lockwitz,
"POINT (13.8145315 51.0542554)",Loschwitz,
"POINT (13.7858773 51.1837555)",Medingen,
"POINT (13.8386564 51.1861792)",Ottendorf,
"POINT (13.7158537 51.0178187)",Plauen,
"POINT (13.9142216 51.1129963)",Radeberg,
"POINT (13.6809259 51.1290337)",Reichenberg,
"POINT (13.8093068 50.9637833)",Röhrsdorf,
"POINT (13.8657189 51.14732129999999)",Schönborn,
"POINT (13.893004 51.0364137)",Schönfeld,
"POINT (13.8831861 51.1593929)",Seifersdorf,
"POINT (13.9035532 51.16007)",Wachau,
"POINT (13.8868079 51.0611037)",Weißig,
"POINT (13.7189992 51.12117139999999)",Wilschdorf,
"POINT (13.7991514 50.8002194)",Bärenstein,
"POINT (13.4898557 50.82110040000001)",Burkersdorf,
"POINT (13.4965199 50.9082822)",Colmnitz,
"POINT (13.6481654 50.9995913)",Deuben,
"POINT (13.6684411 50.8951322)",Dippoldiswalde,
"POINT (13.4885418 50.7911452)",Dittersbach,
"POINT (13.8048288 50.83000730000001)",Dittersdorf,
"POINT (13.6400027 51.0081201)",Döhlen,
"POINT (13.5625959 50.93545630000001)",Dorfhain,
"POINT (13.5438663 50.9950468)",Fördergersdorf,
"POINT (13.5372311 50.8012443)",Frauenstein,
"POINT (13.8320734 50.73767059999999)",Fürstenau,
"POINT (13.8579571 50.759693)",Fürstenwalde,
"POINT (13.7922939 50.7569369)",Geising,
"POINT (13.7757788 50.8507042)",Glashütte,
"POINT (13.558764 50.8293067)",Hartmannsdorf,
"POINT (13.6232108 50.82488439999999)",Hennersdorf,
"POINT (13.6261429 50.76462919999999)",Hermsdorf,
"POINT (13.587838 50.9301385)",Höckendorf,
"POINT (13.7475156 50.8302632)",Johnsbach,
"POINT (13.5261046 50.87299489999999)",Klingenberg,
"POINT (13.7589163 50.944347)",Kreischa,
"POINT (13.8219465 50.7829067)",Lauenstein,
"POINT (13.8560337 50.7880638)",Liebenau,
"POINT (13.543925 50.7628663)",Nassau,
"POINT (13.6562556 51.0289018)",Pesterwitz,
"POINT (13.7142767 50.9662064)",Possendorf,
"POINT (13.5254049 50.87251)",Pretzschendorf,
"POINT (13.6432545 50.964561)",Rabenau,
"POINT (13.6385935 50.88301509999999)",Reichstädt,
"POINT (13.7541608 50.8917705)",Reinhardtsgrimma,
"POINT (13.599546 50.9088591)",Ruppendorf,
"POINT (13.6338536 50.83984659999999)",Sadisdorf,
"POINT (13.6951383 50.770647)",Schellerhau,
"POINT (13.6779679 50.8340231)",Schmiedeberg,
"POINT (13.6450915 50.7842203)",Schönfeld,
"POINT (13.6429417 50.934714)",Seifersdorf,
"POINT (13.6060267 50.9744296)",Somsdorf,
"POINT (13.5782358 50.9866531)",Tharandt,
"POINT (13.340437 51.0068795)",Bieberstein,
"POINT (13.4424301 51.0414761)",Blankenstein,
"POINT (13.2211329 51.2596317)",Bloßwitz,
"POINT (13.5455432 51.1304148)",Brockwitz,
"POINT (13.4343462 51.0733099)",Burkhardswalde,
"POINT (13.5643091 51.10525699999999)",Constappel,
"POINT (13.5779228 51.130518)",Coswig,
"POINT (13.3613376 51.0575638)",Deutschenbora,
"POINT (13.4087032 50.9989414)",Dittmannsdorf,
"POINT (13.3135086 51.2266908)",Dörschnitz,
"POINT (13.5251787 51.1873821)",Gröbern,
"POINT (13.5689208 51.2155344)",Großdobritz,
"POINT (13.545965 51.03132069999999)",Grumbach,
"POINT (13.495061 51.0117396)",Herzogswalde,
"POINT (13.3813585 51.0911123)",Heynitz,
"POINT (13.3586557 51.0406096)",Hirschfeld,
