WKT,Name,Beschreibung
"POINT (14.7779454 51.1972066)",Arnsdorf,
"POINT (14.7155202 51.54926)",Bad Muskau,
"POINT (14.0671248 51.3760276)",Bernsdorf,
"POINT (14.2259103 51.5252509)",Bluno,
"POINT (14.695542 51.1997726)",Buchholz,
"POINT (14.8271862 51.3966884)",Daubitz,
"POINT (14.971841 51.098788)",Deutsch Ossig,
"POINT (14.7568222 51.24371259999999)",Diehsa,
"POINT (14.9307858 51.1800824)",Ebersbach,
"POINT (14.6554124 51.3025246)",Förstgen,
"POINT (14.8696644 51.0958558)",Friedersdorf,
"POINT (14.6624609 51.533145)",Gablenz,
"POINT (14.6766766 51.2249078)",Gebelzig,
"POINT (14.1244968 51.4948279)",Geierswalde,
"POINT (14.8525714 51.1239589)",Gersdorf,
"POINT (14.9688941 51.1524553)",Görlitz,
"POINT (14.942121 51.147749)",Rauschwalde,
"POINT (14.983388 51.119955)",Weinhübel,
"POINT (14.1754752 51.5182177)",Groß Partwitz,
"POINT (14.6939068 51.25345610000001)",Groß-Radisch,
"POINT (14.311698 51.37059439999999)",Groß Särchen,
"POINT (13.7244811 51.37854)",Großkmehlen,
"POINT (14.8625975 51.3641407)",Hähnichen,
"POINT (15.0159303 51.1843486)",Hennersdorf,
"POINT (13.8951483 51.4052899)",Hermsdorf,
"POINT (14.0087883 51.4317)",Hohenbocka,
"POINT (14.8961125 51.29818780000001)",Horka,
"POINT (14.0256682 51.4549804)",Hosena,
"POINT (14.2536419 51.4388605)",Hoyerswerda,
"POINT (14.8125573 51.25082949999999)",Jänkendorf-Ullersdorf,
"POINT (14.5994395 51.35067069999999)",Klitten,
"POINT (14.8944594 51.2363664)",Kodersdorf,
"POINT (15.2299326 51.2879708)",Kohlfurt,
"POINT (14.7325471 51.2685681)",Kollm,
"POINT (14.8680961 51.18236109999999)",Königshain,
"POINT (14.7834733 51.3513897)",Kosel,
"POINT (14.7426882 51.5142078)",Krauschwitz,
"POINT (14.6836335 51.34813699999999)",Kirche Kreba,
"POINT (13.7997386 51.382304)",Kroppen,
"POINT (14.9257046 51.2031398)",Kunnersdorf,
"POINT (14.9368635 51.1178255)",Kunnerwitz,
"POINT (13.7232368 51.40086640000001)",Lindenau,
"POINT (14.3972107 51.3942086)",Lohsa,
"POINT (14.9996193 51.1871409)",Ludwigsdorf,
"POINT (14.8846716 51.14578969999999)",Markersdorf,
"POINT (14.7469415 51.1891686)",Melaune,
"POINT (14.753594 51.1706097)",Meuselwitz,
"POINT (14.535903 51.3947278)",Merzdorf,
"POINT (14.9940916 51.0419954)",Nieda,
"POINT (14.7776397 51.2182563)",Nieder Seifersdorf,
"POINT (14.8311719 51.2931501)",Niesky,
"POINT (14.5993557 51.43181990000001)",Nochten-Boxberg,
"POINT (13.7611107 51.3756454)",Ortrand,
"POINT (14.8621839 51.48689659999999)",Pechern,
"POINT (14.7504014 51.31912)",Petershain,
"POINT (14.9458947 51.4691686)",Podrosche,
"POINT (14.7749577 51.1581747)",Reichenbach,
"POINT (14.6622225 51.3793222)",Reichwalde,
"POINT (14.7860035 51.396427)",Rietschen,
"POINT (14.9665253 51.3357091)",Rothenburg,
"POINT (15.0105282 51.1343124)",Rothwasser,
"POINT (13.8630854 51.4546649)",Ruhland,
"POINT (14.5335677 51.54340380000001)",Schleife,
"POINT (14.1461985 51.441258)",Schwarzkollm,
"POINT (14.7852025 51.3059648)",See,
"POINT (14.3985255 51.5081448)",Spreewitz,
"POINT (14.1061333 51.4850177)",Tätzschwitz,
"POINT (14.9455423 51.0682977)",Tauchritz,
"POINT (14.5066013 51.36491359999999)",Uhyst,
"POINT (14.6400248 51.47533860000001)",Weißwasser,
"POINT (14.9966275 51.0810109)",Wendisch-Ossig,
"POINT (15.0101354 51.23593160000001)",Zodel,
