WKT,Name,Beschreibung
"POINT (12.9839502 50.8165424)",Adelsberg,
"POINT (12.2561937 50.3204083)",Adorf,
"POINT (12.9189772 50.79478539999999)",Altchemnitz,
"POINT (12.4366572 50.9931202)",Altenburg,
"POINT (13.0149313 50.5851268)",Annaberg,
"POINT (13.1167956 50.5790861)",Arnsfeld,
"POINT (12.699016 50.5873296)",Aue,
"POINT (12.3981373 50.5079692)",Auerbach,
"POINT (12.3079705 50.22131539999999)",Bad Brambach,
"POINT (12.5502669 51.2354371)",Belgershain,
"POINT (12.6856926 50.54224610000001)",Bockau,
"POINT (13.3236602 50.8666883)",Brand-Erbisdorf,
"POINT (12.3218741 51.0854918)",Breitenhain,
"POINT (13.6666974 51.0648777)",Briesnitz,
"POINT (12.9224922 50.7344233)",Burkhardtsdorf,
"POINT (13.1411688 50.75086229999999)",Börnichen,
"POINT (12.9208547 50.8282222)",Chemnitz,
"POINT (12.4630647 50.814772)",Dennheritz,
"POINT (12.8365532 50.6664927)",Dorfchemnitz,
"POINT (13.7698131 51.01402299999999)",Leubnitz-Neuostra,
"POINT (12.9659274 50.8714751)",Ebersdorf,
"POINT (13.0755116 50.8207094)",Erdmannsdorf,
"POINT (13.0211865 50.8334866)",Euba,
"POINT (12.516169 51.1511277)",Eula,
"POINT (12.3649754 50.4750046)",Falkenstein,
"POINT (13.5372311 50.8012443)",Frauenstein,
"POINT (12.9238914 50.6251691)",Geyer,
"POINT (12.938672 50.883378)",Glösa,
"POINT (12.8839304 50.7011809)",Gornsdorf,
"POINT (12.6242725 50.6036706)",Griesbach,
"POINT (13.9208698 51.0895834)",Großerkmannsdorf,
"POINT (13.153333 50.7671893)",Grünhainichen,
"POINT (12.8176475 50.52863749999999)",Grünstädtel,
"POINT (14.3204044 51.177953)",Göda,
"POINT (12.9234918 50.7810668)",Harthau,
"POINT (13.6261429 50.76462919999999)",Hermsdorf,
"POINT (12.4597955 50.6241671)",Hirschfeld,
"POINT (12.8839805 50.6734479)",Hormersdorf,
"POINT (13.7475156 50.8302632)",Johnsbach,
"POINT (13.0930797 50.51300250000001)",Jöhstadt,
"POINT (13.0063584 50.8001307)",Kleinolbersdorf,
"POINT (12.4026576 50.9695695)",Kosma,
"POINT (12.3346862 51.0248729)",Kriebitzsch,
"POINT (12.7381531 50.5634621)",Lauter,
"POINT (12.3234892 51.0149874)",Leesen,
"POINT (12.4692059 51.2802496)",Liebertwolkwitz,
"POINT (12.3327351 51.09471670000001)",Lucka,
"POINT (12.8641046 50.53528)",Markersbach,
"POINT (12.3024728 51.04270589999999)",Meuselwitz,
"POINT (13.0717244 50.5895197)",Mildenau,
"POINT (12.7988479 50.7950066)",Mittelbach,
"POINT (12.9740557 50.9853149)",Mittweida,
"POINT (13.543925 50.7628663)",Nassau,
"POINT (12.6343507 50.5820736)",Neustädtel,
"POINT (13.0033057 50.90865729999999)",Niederlichtenau,
"POINT (13.0213789 50.8657204)",Niederwiesa,
"POINT (7.600216100000001 49.20155500000001)",Pirmasens,
"POINT (13.6809259 51.1290337)",Reichenberg,
"POINT (12.9606332 50.7980257)",Reichenhain,
"POINT (13.6385935 50.88301509999999)",Reichstädt,
"POINT (12.4207334 50.9331279)",Saara,
"POINT (13.6338536 50.83984659999999)",Sadisdorf,
"POINT (12.6386475 50.59549010000001)",Schneeberg,
"POINT (13.1277844 50.806487)",Schellenberg,
"POINT (12.8659877 50.558754)",Schwarzbach,
"POINT (12.7792228 50.5425641)",Schwarzenberg,
"POINT (14.6801192 50.93770929999999)",Spitzkunnersdorf,
"POINT (13.1520383 50.5576717)",Steinbach,
"POINT (12.7762823 50.7096558)",Stollberg,
"POINT (12.9491665 50.6049814)",Tannenberg,
"POINT (12.5348705 51.2567031)",Threna,
"POINT (12.2993698 50.5435567)",Treuen,
"POINT (12.88531 50.53421729999999)",Unterscheibe,
"POINT (13.1084134 50.7667318)",Waldkirchen,
"POINT (12.3200052 51.474775)",Werbelin,
"POINT (12.3055794 50.4382647)",Werda,
"POINT (12.4591138 50.7069243)",Zwickau,
"POINT (12.810859 50.7718789)",Leukersdorf,Trauungen, Verschiedene Orte,Nr.3858, 1544-1654
"POINT (13.0149313 50.5851268)",Buchholz,Trauungen, Verschiedene Orte,Nr.3858, 1544-1654
"POINT (14.4237749 51.18229299999999)",Bautzen,
