WKT,Name,Beschreibung
"POINT (12.4025083 50.5051956)",Auerbach,
"POINT (12.2752071 50.4738251)",Bergen,
"POINT (12.3649754 50.4750046)",Falkenstein,
"POINT (12.4269675 50.6116863)",Irfersgrün,
"POINT (12.4681708 50.370718)",Klingenthal,
"POINT (12.3709924 50.57012520000001)",Lengenfeld,
"POINT (12.4018177 50.5705029)",Plohn,
"POINT (12.500379 50.46468)",Rautenkranz,
"POINT (12.4048621 50.53087300000001)",Rodewisch,
"POINT (12.5026371 50.53903469999999)",Rothenkirchen,
"POINT (12.2993698 50.5435567)",Treuen,
"POINT (12.3745598 50.5877354)",Waldkirchen,
"POINT (12.3055794 50.4382647)",Werda,
"POINT (12.4335839 50.35421650000001)",Zwota,
"POINT (13.1022712 50.8119515)",Augustusburg,
"POINT (13.1798185 50.7728256)",Borstendorf,
"POINT (13.0489862 50.782084)",Dittmannsdorf,
"POINT (13.1277844 50.806487)",Dorfschellenberg,
"POINT (13.2290361 50.7998853)",Eppendorf,
"POINT (13.0755116 50.8207094)",Erdmannsdorf,
"POINT (13.0716773 50.855488)",Flöha,
"POINT (13.0404029 50.90903609999999)",Frankenberg,
"POINT (13.209607 50.900975)",Frankenstein,
"POINT (13.2130932 50.8267997)",Gahlenz,
"POINT (13.2732811 50.7821683)",Großwaltersdorf,
"POINT (13.153333 50.7671893)",Grünhainichen,
"POINT (13.2284001 50.8740076)",Kirchbach,
"POINT (13.2599785 50.8174301)",Kleinhartmannsdorf,
"POINT (13.1033586 50.7349444)",Krumhermersdorf,
"POINT (13.1652132 50.799108)",Leubsdorf,
"POINT (13.0033057 50.90865729999999)",Niederlichtenau,
"POINT (13.0213789 50.8657204)",Niederwiesa,
"POINT (13.1708803 50.8619895)",Oederan,
"POINT (13.0409483 50.9430929)",Sachsenburg,
"POINT (13.1277844 50.806487)",Schellenberg,
"POINT (13.1084134 50.7667318)",Waldkirchen,
"POINT (13.0745705 50.7474463)",Zschopau,
"POINT (13.0342794 50.971675)",Seifersbach,
"POINT (13.0705741 50.9978246)",Rossau,
"POINT (13.3819715 50.8681468)",Berthelsdorf,
"POINT (13.2166684 50.939603)",Bräunsdorf,
"POINT (13.5039773 50.7099889)",Cämmerswalde,
"POINT (13.4902696 50.74299509999999)",Clausnitz,
"POINT (13.3725257 50.94644049999999)",Conradsdorf,
"POINT (13.4443708 50.76482480000001)",Dorfchemnitz,
"POINT (13.3236602 50.8666883)",Erbisdorf,
"POINT (13.3438625 50.92012790000001)",Freiberg Domkirche
,
"POINT (13.3504713 50.9173675)",Freiberg St. Jacobi
,
"POINT (13.3320758 50.9116595)",Freiberg St. Johannis,
"POINT (13.3459276 50.9183864)",Freiberg St. Nikolai
,
"POINT (13.3413921 50.91657319999999)",Freiberg St. Petri
,
"POINT (13.2870558 50.805042)",Gränitz,
"POINT (13.3218991 50.7991008)",Großhartmannsdorf,
"POINT (13.2770707 50.9907987)",Großschirma,
"POINT (13.3644398 50.8092942)",Helbigsdorf,
"POINT (13.391961 50.9082746)",Hilbersdorf,
"POINT (13.2900929 50.90662560000001)",Kleinschirma,
"POINT (13.2980437 50.9269083)",Kleinwaltersdorf,
"POINT (13.3630745 50.96975399999999)",Krummenhennersdorf,
"POINT (13.2935423 50.8413398)",Langenau,
"POINT (13.2476399 50.9446551)",Langhennersdorf,
"POINT (13.4218734 50.8339885)",Lichtenberg,
"POINT (13.4121873 50.8083724)",Mulda,
"POINT (13.4289558 50.93621580000001)",Naundorf,
"POINT (13.4362756 50.8982426)",Niederbobritzsch,
"POINT (13.4225347 50.9628282)",Niederschöna,
"POINT (13.4617712 50.8654469)",Oberbobritzsch,
"POINT (13.2538482 50.8970797)",Oberschöna,
"POINT (13.3145329 50.9662656)",Rothenfurth,
"POINT (13.4235005 50.7111036)",Sayda,
"POINT (13.2813299 50.8732005)",St. Michaelis,
"POINT (13.3630374 50.9392566)",Tuttendorf,
"POINT (13.3972586 50.7406695)",Voigtsdorf,
"POINT (13.2425381 50.9187373)",Wegefarth,
"POINT (13.382518 50.83895260000001)",Weigmannsdorf,
"POINT (13.4013826 50.8721251)",Weißenborn,
"POINT (13.3788227 50.77455010000001)",Zethau,
"POINT (13.531304 51.2912275)",Großenhain,
"POINT (13.5485486 51.2499167)",Lenz,
"POINT (13.4073331 51.2664372)",Merschwitz,
"POINT (13.4176056 51.2410682)",Seußlitz,
"POINT (13.4715009 51.2869493)",Skassa,
"POINT (13.4962934 51.26138290000001)",Strießen,
"POINT (13.8037308 51.2652969)",Tauscha,
"POINT (13.5013105 51.236472)",Wantewitz,
"POINT (13.79407 51.27823000000001)",Sacka,
"POINT (12.5245541 51.3369791)",Althen,
"POINT (12.4895813 51.3247917)",Baalsdorf,
"POINT (12.2990641 51.2517613)",Bösdorf,
"POINT (12.4417493 51.3821947)",Cleuden,
"POINT (12.375401 51.3078032)",Connewitz,
"POINT (12.4020011 51.254827)",Cröbern,
"POINT (12.5273409 51.38473949999999)",Dewitz,
"POINT (12.4652127 51.216397)",Dreiskau,
"POINT (12.4799296 51.3382024)",Engelsdorf,
"POINT (12.3864518 51.3731585)",Eutritzsch,
"POINT (12.2987643 51.2337467)",Eythra,
"POINT (12.3560697 51.27961879999999)",Gautzsch,
"POINT (12.4234179 51.422475)",Göbschelwitz,
"POINT (12.3678559 51.364498)",Gohlis,
"POINT (12.4842527 51.4265874)",Gottscheina,
"POINT (12.2724251 51.2064947)",Großdalzig,
"POINT (12.3830213 51.2391878)",Großdeuben,
"POINT (12.2106102 51.3532571)",Großdölzig,
"POINT (12.2603623 51.3224943)",Großmiltitz,
"POINT (12.3776587 51.2621228)",Großstädteln,
"POINT (12.367539 51.396489)",Wiederitzsch,
"POINT (12.3102421 51.3014611)",Großzschocher,
"POINT (12.4468897 51.2569107)",Güldengossa,
"POINT (12.2652097 51.36477989999999)",Gundorf,
"POINT (12.2657214 51.385143)",Hänichen,
"POINT (12.5266332 51.323597)",Hirschfeld,
"POINT (12.4584937 51.426699)",Hohenheida,
"POINT (12.4780189 51.3074121)",Holzhausen,
"POINT (12.3240541 51.3159485)",Kleinzschocher,
"POINT (12.30709 51.2717203)",Knauthain,
"POINT (12.271484 51.2538939)",Knautnaundorf,
"POINT (12.2543062 51.3074032)",Lausen-Grünau,
"POINT (12.3762447 51.3225533)",Leipzig Gefängnisbetsal im Königlichen Bezirksgericht,
"POINT (12.3711932 51.3414675)",Leipzig Neukirche,
"POINT (12.3734918 51.3839507)",Leipzig St. Georgen,
"POINT (12.3672978 51.34564239999999)",Leipzig St. Jacobi
,
"POINT (12.4093881 51.2853606)",Leipzig St. Johannis
,
"POINT (12.378489 51.34032049999999)",Leipzig, St. Nicolai,
"POINT (12.3759138 51.3306614)",Leipzig, St. Petri,
"POINT (12.3725442 51.3393349)",Leipzig, St. Thomas,
"POINT (12.3189719 51.35374299999999)",Leutzsch,
"POINT (12.4692059 51.2802496)",Liebertwolkwitz,
"POINT (12.3296974 51.33264029999999)",Lindenau,
"POINT (12.3286743 51.3927717)",Lindenthal,
"POINT (12.2457875 51.3355696)",Lindennaundorf,
"POINT (12.3964701 51.2975654)",Lößnig,
"POINT (12.2857293 51.4025419)",Lützschena,
"POINT (12.4402136 51.23742610000001)",Magdeborn,
"POINT (12.3664574 51.2748681)",Markkleeberg,
"POINT (12.2211256 51.3046156)",Markranstädt,
"POINT (12.4053856 51.3761749)",Mockau,
"POINT (12.5372932 51.3608955)",Panitzsch,
"POINT (12.4660314 51.3539553)",Paunsdorf,
"POINT (12.457304 51.39390900000001)",Plaußig,
"POINT (12.3830418 51.42480490000001)",Podelwitz,
"POINT (12.4587283 51.3946945)",Plaußig-Portitz,
"POINT (12.4290486 51.30470709999999)",Probstheida,
"POINT (12.207442 51.2904248)",Quesitz,
"POINT (12.2664275 51.2688972)",Rehbach,
"POINT (12.4167256 51.1989974)",Rötha,
"POINT (12.4045259 51.2204879)",Rüben,
"POINT (12.274882 51.3371414)",Rückmarsdorf,
"POINT (12.2885614 51.327312)",Schönau,
"POINT (12.4332571 51.3628098)",Schönefeld,
"POINT (12.4803611 51.39569239999999)",Seegeritz,
"POINT (12.4186447 51.4061849)",Seehausen,
"POINT (12.5383822 51.3774259)",Sehlis,
"POINT (12.4988022 51.3450915)",Sommerfeld,
"POINT (12.4749165 51.2459122)",Störmthal,
"POINT (12.421917 51.32143809999999)",Stötteritz,
"POINT (12.495054 51.3798014)",Taucha,
"POINT (12.2707799 51.1987039)",Tellschütz,
"POINT (12.4090863 51.3214857)",Thonberg,
"POINT (12.4280601 51.282204)",Wachau,
"POINT (12.3168477 51.3759892)",Wahren,
"POINT (12.2865084 51.1930498)",Wiederau,
"POINT (12.4072587 51.2255388)",Zehmen,
"POINT (12.3676578 51.2664714)",Zöbigker,
"POINT (12.4570592 51.30169129999999)",Zuckelhausen,
"POINT (12.4522363 51.3234982)",Zweinaundorf,
"POINT (12.3305257 51.2166912)",Zwenkau,
"POINT (12.2042302 51.3316488)",Priesteblich,
"POINT (12.2333267 51.3383428)",Frankenheim,
"POINT (12.4716912 51.0916753)",Blumroda,
"POINT (12.4923222 51.1245977)",Borna,
"POINT (12.4295509 51.0873666)",Breitingen,
"POINT (12.406434 51.130002)",Breunsdorf,
"POINT (12.5414541 51.0780714)",Bubendorf,
"POINT (12.4228582 51.1128713)",Deutzen,
"POINT (12.589489 51.12324400000001)",Flößberg,
"POINT (12.4465891 51.1163792)",Görnitz,
"POINT (12.3772801 51.114021)",Großhermsdorf,
"POINT (12.4511087 51.1528553)",Großzössen,
"POINT (12.4461302 51.1733351)",Hain,
"POINT (12.3902819 51.119345)",Heuersdorf,
"POINT (12.3374766 51.1163041)",Hohendorf,
"POINT (12.3802306 51.1618049)",Kieritzsch,
"POINT (12.4335644 51.179436)",Kreudnitz,
"POINT (12.4506989 51.1343541)",Lobstädt,
"POINT (12.3721406 51.1748634)",Medewitzsch,
"POINT (12.5634691 51.0862837)",Nenkersdorf,
"POINT (12.5304018 51.0859024)",Neukirchen,
"POINT (12.6104526 51.1030421)",Prießnitz,
"POINT (12.3434926 51.1825563)",Pulgar,
"POINT (12.3750598 51.091399)",Ramsdorf,
"POINT (12.42173 51.08913)",Regis,
"POINT (12.3672531 51.0690541)",Ruppersdorf,
"POINT (12.5599449 51.0986039)",Schönau,
"POINT (12.4251441 51.1666013)",Trachenau,
"POINT (12.4705062 51.139212)",Witznitz,
"POINT (12.513032 51.0798323)",Wyhra,
"POINT (12.5111752 51.1039033)",Zedtlitz,
"POINT (12.4373004 51.1679316)",Zöpen,
"POINT (12.5025243 51.26839529999999)",Großpösna,
"POINT (12.5376735 51.2810006)",Fuchshain,
"POINT (12.5200181 51.3108525)",Kleinpösna,
"POINT (12.5183604 51.2930711)",Seifertshain,
"POINT (12.5545434 51.0543541)",Frohburg,
"POINT (12.5385957 51.0677759)",Benndorf,
"POINT (12.5190264 51.0367689)",Eschefeld,
"POINT (12.5873365 51.0584892)",Greifenhain,
"POINT (12.6151998 51.04749049999999)",Roda,
"POINT (12.606506 51.0173518)",Kohren-Sahlis,
"POINT (12.5707094 50.9940559)",Altmörbitz,
"POINT (12.5191678 51.00496219999999)",Bocka,
"POINT (12.5758545 51.0173357)",Gnandstein,
"POINT (12.4985004 51.1948662)",Mölbis,
"POINT (12.5528685 51.1650888)",Kitzscher,
"POINT (12.5957642 51.169021)",Steinbach,
"POINT (12.6450532 51.1449012)",Bad Lausick,
"POINT (12.6924153 51.1358566)",Ballendorf,
"POINT (12.6073602 51.2042334)",Otterwisch,
"POINT (12.7058457 51.206774)",Großbardau,
"POINT (12.6411261 51.1999271)",Großbuch,
"POINT (12.6007572 51.0091621)",Rüdigsdorf,
"POINT (12.4850044 51.18433959999999)",Espenhain,
"POINT (12.4809905 51.2098094)",Großpötzschau,
"POINT (12.4864657 51.2137688)",Kleinpötzschau,
"POINT (12.467558 51.21834200000001)",Dreiskau,
"POINT (12.5270239 51.1911107)",Trages,
"POINT (12.516169 51.1511277)",Eula,
"POINT (12.6254397 51.1737466)",Lauterbach,
"POINT (12.5311832 51.1720672)",Thierbach,
"POINT (12.5601917 51.1914914)",Hainichen,
"POINT (12.6633023 51.160301)",Etzoldshain,
"POINT (12.6621582 51.126903)",Buchheim,
"POINT (12.5899022 51.1842698)",Stockheim,
"POINT (12.6592085 51.18333029999999)",Bernbruch,
"POINT (12.6609134 51.2349746)",Grethen,
"POINT (13.1617322 50.9266886)",Bockendorf,
"POINT (13.1129861 51.0260556)",Greifendorf,
"POINT (13.1220989 50.96945419999999)",Hainichen,
"POINT (13.1204421 50.90656999999999)",Langenstriegis,
"POINT (13.1494027 51.0791491)",Niederstriegis,
"POINT (13.1812619 50.9867526)",Pappendorf,
"POINT (14.5276012 51.0380155)",Neusalza,
"POINT (14.5610824 51.0261282)",Oberfriedersdorf,
"POINT (14.5266474 51.0372464)",Spremberg,
"POINT (13.4643637 50.6054143)",Deutschneudorf,
"POINT (12.9920101 50.7541914)",Dittersdorf,
"POINT (13.3477689 50.7332182)",Dörnthal,
"POINT (13.0199826 50.6760947)",Drebach,
"POINT (13.2664284 50.7241489)",Forchheim,
"POINT (13.0887517 50.6945838)",Großolbersdorf,
"POINT (13.1176699 50.6296993)",Großrückerswalde,
"POINT (13.3205852 50.6931137)",Hallbach,
"POINT (13.2388032 50.5873421)",Kühnhaide,
"POINT (13.1765314 50.6777267)",Lauterbach,
"POINT (13.1926299 50.7195979)",Lengefeld,
"POINT (13.254849 50.75719729999999)",Lippersdorf,
"POINT (13.1622883 50.6503661)",Marienberg,
"POINT (13.0895171 50.6059177)",Mauersberg,
"POINT (13.3037095 50.7644353)",Mittelsaida,
"POINT (13.4691919 50.6767869)",Neuhausen,
"POINT (13.3832256 50.6473616)",Oberneuschönberg,
"POINT (13.3383108 50.6588625)",Olbernhau,
"POINT (13.3507955 50.7008411)",Pfaffroda,
"POINT (13.30282 50.59852290000001)",Rübenau,
"POINT (13.1919896 50.52700429999999)",Satzung,
"POINT (13.0503563 50.6538797)",Schönbrunn,
"POINT (13.4525702 50.6484086)",Seiffen,
"POINT (13.0703273 50.6558998)",Wolkenstein,
"POINT (13.2313552 50.6582392)",Zöblitz,
"POINT (12.9122058 50.6876882)",Auerbach,
"POINT (12.7241164 50.6588382)",Beutha,
"POINT (12.8161934 50.6855163)",Brünlos,
"POINT (12.9224922 50.7344233)",Burkhardtsdorf,
"POINT (12.8365532 50.6664927)",Dorfchemnitz,
"POINT (12.7527946 50.76077799999999)",Erlbach,
"POINT (12.8839304 50.7011809)",Gornsdorf,
"POINT (12.8839805 50.6734479)",Hormersdorf,
"POINT (12.8544599 50.7460399)",Jahnsdorf,
"POINT (12.5224525 50.6223188)",Kirchberg,
"POINT (12.810859 50.7718789)",Leukersdorf,
"POINT (12.7465523 50.73984650000001)",Lugau,
"POINT (12.8814851 50.7204279)",Meinersdorf,
"POINT (12.8669392 50.7794338)",Neukirchen,
"POINT (12.7362831 50.7080542)",Oberwürschnitz,
"POINT (12.7552664 50.7212489)",Niederwürschnitz,
"POINT (12.8214789 50.645692)",Niederzwönitz,
"POINT (12.6992796 50.7254764)",Oelsnitz,
"POINT (12.7750105 50.70918469999999)",Stollberg,
"POINT (12.8474361 50.6991692)",Thalheim,
"POINT (12.7774352 50.7782379)",Ursprung,
"POINT (12.8095151 50.6320683)",Zwönitz,
"POINT (12.4984145 50.69645550000001)",Bockwa,
"POINT (12.4579196 50.7180277)",Marienthal,
"POINT (12.4730934 50.7393516)",Weißenborn,
"POINT (12.4993403 50.72004619999999)",Zwickau St. Katharinen,
"POINT (12.4941993 50.7178999)",Zwickau St. Marien,
"POINT (12.4917186 50.727928)",Zwickau St. Moritz
,
"POINT (13.0123334 50.7345668)",Weißbach,
