WKT,Name,Beschreibung
"POINT (13.0149313 50.5851268)",Annaberg,
"POINT (14.4237749 51.18229299999999)",Bautzen,
"POINT (12.9208547 50.8282222)",Chemnitz,
"POINT (14.2440773 51.2381931)",Crostwitz,
"POINT (13.714401 51.0584903)",Dresden Friedrichstadt
,
"POINT (13.7373588 51.053509)",Dresden Hofkirche,
"POINT (13.7461571 51.0641997)",Dresden Neustadt
,
"POINT (13.3468175 50.9160943)",Freiberg,
"POINT (14.944626 51.0212906)",Grunau,
"POINT (12.9395 51.282169)",Hubertusburg,
"POINT (14.1024881 51.2749068)",Kamenz,
"POINT (14.9499611 50.983492)",Königshain,
"POINT (12.3730047 51.3351741)",Leipzig St. Trinitatis,
"POINT (14.6479619 50.958861)",Leutersdorf,
"POINT (13.4976592 51.1617842)",Meißen,
"POINT (14.1586388 51.262423)",Nebelschütz,
"POINT (14.9314311 51.01573639999999)",Ostritz,
"POINT (14.1905068 51.21688109999999)",Ostro,
"POINT (13.9419169 50.9625175)",Pirna,
"POINT (14.3961417 51.2446549)",Radibor,
"POINT (14.2481819 51.3015749)",Ralbitz,
"POINT (13.9642924 51.2562531)",Reichenau,
"POINT (14.4243608 51.07549179999999)",Schirgiswalde,
"POINT (14.9383567 50.9465604)",Seitendorf,
"POINT (14.7235794 51.0284247)",Strahwalde,
"POINT (14.8029971 50.8999681)",Zittau,
"POINT (12.4591138 50.7069243)",Zwickau,
