WKT,Name,Beschreibung
"POINT (13.0049012 50.57841529999999)",Annaberg St. Annenkirche,
"POINT (13.0149313 50.5851268)",Annaberg St. Trinitatis
,
"POINT (13.1167956 50.5790861)",Arnsfeld,
"POINT (13.0269282 50.5007798)",Bärenstein,
"POINT (12.9951057 50.5649933)",Buchholz,
"POINT (12.9923888 50.5135935)",Cranzahl,
"POINT (12.9392722 50.5118945)",Crottendorf,
"POINT (13.0019837 50.551328)",Cunersdorf,
"POINT (12.9687296 50.648156)",Ehrenfriedersdorf,
"POINT (12.8682031 50.5771312)",Elterlein,
"POINT (12.9683034 50.7113229)",Gelenau,
"POINT (12.9238914 50.6251691)",Geyer,
"POINT (13.0380233 50.5868669)",Geyersdorf,
"POINT (13.1252494 50.5473739)",Grumbach,
"POINT (13.0134005 50.4438256)",Hammerunterwiesenthal,
"POINT (12.9773864 50.6766552)",Herold,
"POINT (12.9288014 50.5885604)",Hermannsdorf,
"POINT (13.0930797 50.51300250000001)",Jöhstadt,
"POINT (13.0081281 50.5681778)",Kleinrückerswalde,
"POINT (13.0479228 50.5492802)",Königswalde,
"POINT (13.0717244 50.5895197)",Mildenau,
"POINT (12.9736798 50.4795436)",Neudorf,
"POINT (13.0158111 50.6317613)",Neundorf,
"POINT (12.9694104 50.4186222)",Oberwiesenthal,
"POINT (12.9129742 50.54079669999999)",Scheibenberg,
"POINT (12.9519534 50.5578866)",Schlettau,
"POINT (12.9876932 50.6135292)",Schönfeld,
"POINT (12.8659877 50.558754)",Schwarzbach,
"POINT (12.9926417 50.5372494)",Sehma,
"POINT (12.9491665 50.6049814)",Tannenberg,
"POINT (12.9492562 50.6712877)",Thum,
"POINT (13.0141508 50.611851)",Wiesa,
"POINT (13.2662307 51.0752073)",Bodenbach,
"POINT (13.2177124 50.9387311)",Bräunsdorf Anstaltskirche
,
"POINT (13.0325742 51.1430696)",Hochweitzschen Anstalt
,
"POINT (12.7865342 50.7040539)",Hoheneck Anstalt
,
"POINT (12.9395 51.282169)",Hubertusburg Anstaltskirche
,
"POINT (13.9559404 50.9543544)",Sonnenstein Anstalt
,
"POINT (12.1839287 50.4234258)",Voigtsberg Anstalt
,
"POINT (13.0259881 51.0736117)",Waldheim Anstaltskirche
,
"POINT (13.0292 51.07407)",Waldheim Anstalt
,
"POINT (13.9247834 50.9388808)",Zehista,
"POINT (12.4177285 50.4335811)",Hammerbrücke,
"POINT (12.2525188 50.5840216)",Limbach,
"POINT (12.4212336 50.5606783)",Röthenbach,
"POINT (12.400273 50.53205999999999)",Untergöltzsch,
"POINT (12.4826181 50.3813211)",Untersachsenberg-Georgenthal,
"POINT (12.4707279 50.5300162)",Wernesgrün,
"POINT (12.2884829 51.17293129999999)",Audigast,
"POINT (12.2377503 51.1080263)",Auligk,
"POINT (12.5830219 51.14916729999999)",Beucha,
"POINT (12.2315304 51.14293130000001)",Costewitz,
"POINT (12.5376701 51.1511168)",Dittmannsdorf,
"POINT (12.6412457 51.1043148)",Elbisbach,
"POINT (12.2375722 51.14937)",Elstertrebnitz,
"POINT (12.2537489 51.1235637)",Gatzen,
"POINT (12.2833389 51.1534049)",Groitzsch,
"POINT (12.2677122 51.1887425)",Großstorkwitz,
"POINT (12.3524518 50.8481734)",Heyersdorf,
"POINT (12.282875 51.1072111)",Michelwitz,
"POINT (12.2535882 51.1672124)",Pegau,
"POINT (12.3571671 51.14702579999999)",Pödelwitz,
"POINT (12.2254404 51.1754095)",Stöntzsch,
"POINT (12.2395558 51.150802)",Trautzschen,
"POINT (12.2273357 51.1953456)",Werben,
"POINT (12.9539094 50.8225743)",Chemnitz Andreaskirche Gablenz,
"POINT (12.9190882 50.83291939999999)",Chemnitz St. Jakobi,
"POINT (12.9260366 50.8319121)",Chemnitz Johanniskirche,
"POINT (12.9281344 50.84899189999999)",Chemnitz Lukaskirche
,
"POINT (12.9377162 50.8224852)",Chemnitz Lutherkirche,
"POINT (12.93758 50.83542000000001)",Chemnitz Markuskirche,
"POINT (12.9131994 50.7995756)",Chemnitz Michaeliskirche
,
"POINT (12.8969177 50.8183678)",Chemnitz Nikolaikirche
,
"POINT (12.9163076 50.8326254)",Chemnitz Paulikirche
,
"POINT (12.9250419 50.83850160000001)",Chemnitz Petrikirche,
