WKT,Name,Beschreibung
"POINT (11.0449766 51.09248530000001)",Alperstedt,
"POINT (11.5164205 51.02525060000001)",Apolda,
"POINT (11.5883831 51.0997425)",Auerstedt,
"POINT (11.6344576 51.0851872)",Bergsulza,
"POINT (11.2469915 51.06164329999999)",Berlstedt,
"POINT (11.3461167 51.07624670000001)",Buttelstedt
,
"POINT (11.4162517 51.1210282)",Buttstädt,
"POINT (11.3435915 51.0645771)",Daasdorf,
"POINT (11.611293 51.0797691)",Darnstedt,
"POINT (11.1670574 51.0914388)",Dielsdorf,
"POINT (11.6340666 51.08703369999999)",Dorfsulza,
"POINT (11.5789658 51.07359700000001)",Eberstedt,
"POINT (11.1475531 51.07033800000001)",Eckstedt,
"POINT (11.3162247 51.1430972)",Ellersleben,
"POINT (11.4615986 51.152359)",Essleben,
"POINT (11.5587217 51.0590607)",Flurstedt,
"POINT (11.4503033 50.96792629999999)",Frankendorf,
"POINT (11.4961973 51.0977194)",Gebstedt,
"POINT (11.4341103 51.0459219)",Goldbach
,
"POINT (11.3216733 51.1128984)",Großbrembach,
"POINT (11.6629662 51.10236810000001)",Großheringen,
"POINT (11.1433508 51.0261866)",Großmölsen
,
"POINT (11.2817681 51.16125049999999)",Großneuhausen,
"POINT (11.4942831 50.9794375)",Großromstedt,
"POINT (11.0990239 51.09279670000001)",Großrudestedt,
"POINT (11.3684316 51.1342424)",Guthmannshausen
,
"POINT (11.3216397 51.08752330000001)",Haindorf,
"POINT (11.4527675 50.9536648)",Hammerstedt,
"POINT (11.4241794 51.1535849)",Hardisleben,
"POINT (10.9950186 51.1085083)",Haßleben,
"POINT (11.5362644 50.9936427)",Hermstedt,
"POINT (11.4912378 51.0073119)",Herressen,
"POINT (11.538479 51.033977)",Heusdorf,
"POINT (11.4690056 50.9745095)",Kapellendorf,
"POINT (11.2715073 51.1246679)",Kleinbrembach,
"POINT (11.2857305 51.1519619)",Kleinneuhausen
,
"POINT (11.511724 50.98547329999999)",Kleinromstedt,
"POINT (11.1070096 51.0825946)",Kleinrudestedt,
"POINT (11.5075576 51.0864299)",Ködderitzsch,
"POINT (11.5965436 51.0145129)",Kösnitz,
"POINT (11.0804193 51.12009)",Kranichborn,
"POINT (11.3090625 51.0883768)",Krautheim,
"POINT (11.3716698 51.0549516)",Leutenthal,
"POINT (11.4107827 51.0464895)",Liebstedt,
"POINT (11.3934961 51.13828669999999)",Mannstedt
,
"POINT (11.1739377 51.07775520000001)",Markvippach
,
"POINT (11.5031613 51.05441179999999)",Mattstedt,
"POINT (11.0073852 51.0415875)",Mittelhausen,
"POINT (11.3702792 51.0844514)",Nermsdorf,
"POINT (11.246591 51.07922660000001)",Neumark,
"POINT (11.5290458 51.09954690000001)",Neustedt,
"POINT (11.4110842 51.0989051)",Niederreißen,
"POINT (11.4866067 51.0367707)",Niederroßla,
"POINT (11.5830648 51.0706129)",Niedertrebra,
"POINT (11.4683517 51.0941813)",Nirmsdorf,
"POINT (11.015294 51.0697458)",Nöda,
"POINT (11.4803012 50.9963229)",Oberndorf
,
"POINT (11.4138427 51.0856414)",Oberreißen,
"POINT (11.4794192 51.02404869999999)",Oberroßla,
"POINT (11.5656951 51.06245060000001)",Obertrebra,
"POINT (11.3377551 51.1469585)",Olbersleben,
"POINT (11.2012307 51.1536459)",Orlishausen,
"POINT (11.4307873 51.0188688)",Oßmannstedt,
"POINT (11.4404446 51.0589087)",Pfiffelbach,
"POINT (11.5995969 51.0439445)",Pfuhlsborn,
"POINT (11.5417851 51.08596919999999)",Rannstedt
,
"POINT (11.4188999 51.17579019999999)",Rastenberg
,
"POINT (11.5571234 51.10190610000001)",Reisdorf,
"POINT (11.0028197 51.0871004)",Riethnordhausen
,
"POINT (11.4001258 51.0673121)",Rohrbach,
"POINT (11.381226 51.1757691)",Roldisleben,
"POINT (11.4565506 51.1065736)",Rudersdorf,
"POINT (11.1515826 51.10468110000001)",Schloßvippach,
"POINT (11.5224871 51.0013295)",Schöten,
"POINT (11.0868727 51.08083080000001)",Schwansee,
"POINT (11.075682 51.0374043)",Schwerborn,
"POINT (11.2027686 51.12548210000001)",Sprötau,
"POINT (11.6249323 51.0865568)",Stadtsulza
,
"POINT (11.5634008 51.0048656)",Stobra,
"POINT (11.0398974 51.05303259999999)",Stotternheim,
"POINT (11.4846806 51.0023)",Sulzbach,
"POINT (11.4509545 51.1347351)",Teutleben
,
"POINT (11.2190992 51.0905344)",Thalborn
,
"POINT (11.1287625 51.0508281)",Udestedt,
"POINT (11.4184428 51.0116927)",Ulrichshalben,
"POINT (11.5634594 51.0292055)",Utenbach,
"POINT (11.2110693 51.0817296)",Vippachedelhausen,
"POINT (11.2434914 51.13241339999999)",Vogelsberg,
"POINT (11.3606998 51.0723343)",Weiden,
"POINT (11.0015603 51.1413582)",Werningshausen,
"POINT (11.464493 51.0520952)",Wersdorf,
"POINT (11.5378889 51.0580729)",Wickerstedt,
"POINT (11.4526028 51.08932)",Willerstedt,
"POINT (11.5991978 51.0305833)",Wormstedt,
"POINT (11.4941043 51.0529804)",Zottelstedt,
"POINT (11.1211229 50.8364847)",Achelstädt,
"POINT (11.0428464 50.8450375)",Alkersleben,
"POINT (10.9595257 50.56452989999999)",Altenfeld,
"POINT (10.9677771 50.8259227)",Angelhausen,
"POINT (10.866581 50.7453325)",Angelroda,
"POINT (10.8267298 50.713313)",Arlesberg,
"POINT (10.941614 50.8332562)",Arnstadt,
"POINT (11.1791177 50.8287463)",Barchfeld,
"POINT (11.013567 50.7733569)",Behringen,
"POINT (10.887441 50.8347934)",Bittstädt,
"POINT (11.0429669 50.5882702)",Böhlen,
"POINT (11.0604431 50.825561)",Bösleben,
"POINT (10.9932706 50.7867523)",Branchewinda,
"POINT (11.2032854 50.78584780000001)",Breitenheerda,
"POINT (10.9742258 50.7114079)",Bücheloh,
"POINT (11.0264177 50.7346799)",Cottendorf,
"POINT (10.9769537 50.79694420000001)",Dannheim,
"POINT (11.1710646 50.80104559999999)",Dienstedt,
"POINT (11.1418359 50.7632499)",Döllstedt,
"POINT (11.0733054 50.6634397)",Dörnfeld,
"POINT (11.0355065 50.7349894)",Dörnfeld,
"POINT (10.991334 50.834574)",Dornheim,
"POINT (10.9146356 50.79789520000001)",Dosdorf,
"POINT (11.173545 50.75743259999999)",Ehrenstein,
"POINT (10.9902585 50.887636)",Eischleben,
"POINT (10.8533604 50.70185410000001)",Elgersburg,
"POINT (11.092279 50.8625053)",Elleben,
"POINT (11.0567312 50.8660132)",Elxleben,
"POINT (11.1347712 50.8157958)",Ellichleben,
"POINT (10.8933101 50.81069859999999)",Espenfeld,
"POINT (11.0345561 50.83889840000001)",Ettischleben,
"POINT (11.0358027 50.6050407)",Friedersdorf,
"POINT (11.0779482 50.65141329999999)",Garsitz,
"POINT (11.0032554 50.64893780000001)",Gehren,
"POINT (11.0810859 50.7436257)",Geilsdorf,
