WKT,Name,Beschreibung
"POINT (12.4354513 50.98678990000001)",Altenburg,
"POINT (12.4390364 50.9879824)",Altenburg Schloßkirche,
"POINT (12.430239 50.9852486)",Altenburg Garnisonkirche,
"POINT (12.3529911 50.9764318)",Gödern,
"POINT (12.3571886 50.9659599)",Romschütz,
"POINT (12.4033106 50.9693329)",Kosma,
"POINT (12.4407716 51.0063965)",Rasephas,
"POINT (12.4235552 51.0075653)",Zschernitzsch,
"POINT (12.2808978 50.9566296)",Dobitschen,
"POINT (12.3194666 50.9955583)",Großröda,
"POINT (12.2599617 50.945823)",Lumpzig,
"POINT (12.2495277 50.9505559)",Braunshain,
"POINT (12.510668 50.94016200000001)",Ehrenhain,
"POINT (12.5205828 50.925363)",Oberarnsdorf,
"POINT (12.5431673 50.9554262)",Lohma an der Leina,
"POINT (12.4616665 50.9600434)",Stünzhain,
"POINT (12.6174791 50.93493480000001)",Flemmingen,
"POINT (12.5830625 50.9379572)",Frohnsdorf,
"POINT (12.6023814 50.9235438)",Garbisdorf,
"POINT (12.595225 50.9131531)",Göpfersdorf,
"POINT (12.6083256 50.96003)",Langenleuba-Niederhain,
"POINT (12.6003357 50.98051040000001)",Neuenmörbitz,
"POINT (12.6336899 50.91338140000001)",Wolperndorf,
"POINT (12.4770673 50.91400369999999)",Gieba,
"POINT (12.4158562 50.9008214)",Bornshain,
"POINT (12.4344624 50.888092)",Gößnitz,
"POINT (12.1958248 50.9023705)",Großenstein,
"POINT (12.1718157 50.8907977)",Korbußen,
"POINT (12.1886761 50.9129909)",Nauendorf,
"POINT (12.2337086 50.9183762)",Reichstädt-Frankenau,
"POINT (12.1906518 50.8063756)",Linda bei Wolfersdorf,
"POINT (12.1952752 50.7915382)",Gauern,
"POINT (12.3319203 51.09825069999999)",Lucka,
"POINT (12.3194385 51.08319239999999)",Breitenhain,
"POINT (12.3182507 50.96680079999999)",Mehna,
"POINT (12.2664446 50.9772885)",Naundorf,
"POINT (12.2492184 50.97383879999999)",Wernsdorf,
"POINT (12.3208375 50.94699079999999)",Göllnitz,
