WKT,Name,Beschreibung
"POINT (10.662459 50.5383018)",Bischofrod,
"POINT (10.6415011 50.6178685)",Albrechts,
"POINT (10.8596116 50.58141739999999)",Frauenwald,
"POINT (10.7107538 50.558595)",Altendambach,
"POINT (10.5929004 50.6434509)",Benshausen,
"POINT (10.4788143 50.6609734)",Christes,
"POINT (10.6275855 50.60439110000001)",Mäbendorf,
"POINT (10.5357894 50.5822426)",Dillstädt,
"POINT (10.4989649 50.57809719999999)",Rohr,
"POINT (10.5699775 50.6270539)",Ebertshausen,
"POINT (10.7596799 50.5284682)",St. Kilian
,
"POINT (10.5940691 50.6015323)",Dietzhausen,
"POINT (10.799467 50.47556789999999)",Wiedersbach,
"POINT (10.7481768 50.6316633)",Goldlauter,
"POINT (10.632436 50.5503935)",Grub,
"POINT (10.7323412 50.63502270000001)",Heidersbach,
"POINT (10.7924828 50.5189441)",Hinternah,
"POINT (10.7376712 50.5622949)",Hirschbach,
"POINT (10.4874315 50.6091766)",Kühndorf,
"POINT (10.8203777 50.4995561)",Waldau,
"POINT (10.7468712 50.4709947)",Gerhardtsgereuth ,
"POINT (10.7594787 50.5104627)",Schleusingen,
"POINT (10.8135224 50.6096476)",Schmiedefeld,
"POINT (10.5337873 50.6274037)",Schwarza,
"POINT (10.8643829 50.63522010000001)",Stützerbach,
"POINT (10.6937047 50.6097426)",Suhl,
"POINT (10.6567706 50.59888489999999)",Suhl-Heinrichs ,
"POINT (10.5596382 50.6624487)",Viernau,
"POINT (10.5738804 50.6006873)",Wichtshausen,
"POINT (10.9287403 50.9863503)",Alach,
"POINT (10.9269341 51.082538)",Andisleben,
"POINT (11.0639903 50.9058636)",Bechstedt-Wagd,
"POINT (10.9485901 50.9739809)",Bindersleben,
"POINT (10.9903431 50.9348975)",Erfurt-Bischleben,
"POINT (11.1129529 50.9612654)",Büßleben,
"POINT (11.0435578 50.9674984)",Erfurt-Daberstedt,
"POINT (10.8580451 51.076653)",Dachwig,
"POINT (11.0551965 50.9185939)",Egstedt,
"POINT (11.0232903 50.9758057)",Erfurt,
"POINT (10.9906059 51.02207159999999)",Erfurt-Gispersleben,
"POINT (10.9990333 50.957413)",Erfurt-Hochheim,
"POINT (11.0233256 51.0000864)",Erfurt-Ilversgehofen,
"POINT (10.9792562 50.9929316)",Erfurt-Marbach,
"POINT (11.0731117 50.9523972)",Erfurt-Melchendorf-Dittelstedt,
"POINT (10.992634 50.9266612)",Erfurt-Möbisburg,
"POINT (10.9721421 50.9531925)",Erfurt-Schmira,
"POINT (10.8856394 50.9688971)",Ermstedt,
"POINT (10.913185 51.0247357)",Friedrichsdorf,
"POINT (10.9126287 50.95625279999999)",Frienstedt,
"POINT (10.9408244 51.11553730000001)",Gebesee,
"POINT (10.9111101 50.96954209999999)",Gottstedt,
"POINT (11.020191 50.8825048)",Kirchheim,
"POINT (10.9500649 51.0478413)",Elxleben,
"POINT (10.8851029 50.93378329999999)",Kleinrettbach,
"POINT (10.9720832 51.0343561)",Kühnhausen,
"POINT (10.6353266 51.1075059)",Langensalza-Militär,
"POINT (11.1023356 50.95147569999999)",Niedernissa,
"POINT (10.7931122 51.4983551)",Nordhausen-Militär ,
"POINT (10.8435527 50.9644839)",Nottleben,
"POINT (11.0099467 50.9309161)",Rhoda,
"POINT (10.9540021 51.10492619999999)",Ringleben,
"POINT (10.9474778 50.9989475)",Salomonsborn,
"POINT (11.2917287 51.4707197)",Sangerhausen-Militär ,
"POINT (10.9816746 50.9281478)",Stedten,
"POINT (10.9476622 51.0228364)",Tiefthal,
"POINT (11.0961354 50.9597246)",Urbich,
"POINT (10.9354427 51.0665048)",Walschleben,
"POINT (11.0235009 50.91640379999999)",Waltersleben,
"POINT (11.06153 50.8880151)",Wernigsleben,
"POINT (11.0919117 50.9471342)",Windischholzhausen,
"POINT (10.8884922 51.0341991)",Witterda,
"POINT (10.8709892 50.9897199)",Zimmernsupra,
"POINT (11.439544 51.2488561)",Allerstedt,
"POINT (11.2340391 51.2259711)",Altenbeichlingen,
"POINT (11.2950048 51.3635652)",Artern,
"POINT (11.3088627 51.39283)",Voigtstedt,
"POINT (11.3577251 51.1984304)",Bachra,
"POINT (11.2845508 51.1992803)",Backleben,
"POINT (11.2610057 51.2043413)",Battgendorf,
"POINT (11.255659 51.23053880000001)",Beichlingen,
"POINT (11.0689259 51.2813258)",Bilzingsleben,
"POINT (11.4039471 51.3029698)",Bottendorf,
"POINT (11.2490756 51.30916759999999)",Braunsroda,
"POINT (11.2338858 51.33697550000001)",Bretleben,
"POINT (11.156342 51.24799609999999)",Büchel,
"POINT (11.2954247 51.2277188)",Burgwenden,
"POINT (11.1991505 51.20454230000001)",Dermsdorf,
"POINT (11.3769311 51.29694800000001)",Donndorf,
"POINT (11.4126364 51.26520739999999)",Wiehe,
"POINT (11.3657276 51.3236743)",Schönewerda,
"POINT (11.1744955 51.2612159)",Etzleben,
"POINT (11.0389618 51.2596506)",Frömmstedt,
"POINT (11.188231 51.1623479)",Frohndorf,
"POINT (10.9335717 51.1920224)",Gangloffsömmern,
"POINT (11.3860973 51.2614659)",Garnbach,
"POINT (11.3210601 51.3237315)",Gehofen,
"POINT (11.1806001 51.27940650000001)",Gorsleben,
"POINT (11.1297826 51.2290935)",Griefstedt,
