WKT,Name,Beschreibung
"POINT (12.5549635 50.9251434)",Ziegelheim,
"POINT (12.3797807 50.8571524)",Grünberg,
"POINT (12.3547008 50.8477357)",Heyersdorf,
"POINT (12.1130703 50.8203006)",Niebra,
"POINT (12.095381 50.82841990000001)",Liebschwitz,
"POINT (12.0929824 50.8364927)",Taubenpreskeln,
"POINT (12.1494312 50.8202321)",Hilbersdorf,
"POINT (12.259667 50.7767335)",Chursdorf,
"POINT (12.2444104 50.7725459)",Seelingstädt,
"POINT (12.1343498 50.6134127)",Hohndorf,
"POINT (11.9066755 50.5664988)",Langenbuch,
"POINT (11.9452476 50.4872964)",Stelzen,
