WKT,Name,Beschreibung
"POINT (11.7739809 50.903285)",Albersdorf,
"POINT (11.5397393 50.8296939)",Altenberga,
"POINT (11.5768608 50.83719019999999)",Altendorf,
"POINT (11.5633292 50.9795773)",Altengönna ,
"POINT (12.0103065 50.9293617)",Bad Köstritz,
"POINT (11.4864558 50.7596163)",Beutelsdorf,
"POINT (11.6780541 50.970947)",Beutnitz,
"POINT (11.5474975 50.80414090000001)",Bibra,
"POINT (11.7931734 50.9031003)",Bobeck,
"POINT (11.5312257 50.7938754)",Eichenberg,
"POINT (11.5048075 50.7890882)",Dienstädt,
"POINT (11.5250367 50.7762928)",Orlamünde,
"POINT (11.5420932 50.76883050000001)",Freienorla,
"POINT (11.4798387 50.7868375)",Kleinbucha,
"POINT (11.4301084 50.7817204)",Rödelwitz,
"POINT (11.4430713 50.7744304)",Dorndorf,
"POINT (11.4590001 50.80912180000001)",Geunitz,
"POINT (11.4749444 50.809328)",Reinstädt,
"POINT (11.5233135 50.80975609999999)",Gumperda,
"POINT (11.4366875 50.8517346)",Meckfeld,
"POINT (11.4640499 50.85648280000001)",Milda,
"POINT (11.5141989 50.8391768)",Rodias,
"POINT (11.5018061 50.8552253)",Zimmritz,
"POINT (11.4853259 50.84953349999999)",Großkröbitz,
"POINT (11.4889795 50.8736152)",Schorba,
"POINT (11.5118267 50.8801182)",Bucha,
"POINT (11.4636363 50.8959558)",Götter,
"POINT (11.4107182 50.9055767)",Maina,
"POINT (11.4440079 50.90722539999999)",Magdala,
"POINT (11.4219547 50.9119543)",Ottstedt,
"POINT (11.4607629 50.93049850000001)",Kleinschwabhausen,
"POINT (11.7550973 50.9421398)",Bürgel,
"POINT (11.5715192 50.9600685)",Closewitz,
"POINT (11.5273363 50.9001747)",Coppanz,
"POINT (11.5573899 50.9475547)",Gospeda,
"POINT (11.4772461 50.9190024)",Döbritschen,
"POINT (11.66735 51.00664339999999)",Dornburg,
"POINT (11.6732415 51.0046153)",Dorndorf ,
"POINT (11.8217724 51.0116604)",Dothen ,
"POINT (11.5927172 50.878673)",Göschwitz,
"POINT (11.6669722 50.9716182)",Golmsdorf,
"POINT (11.719119 50.9599941)",Graitschen,
"POINT (11.6770734 50.9267401)",Großlöbichau,
"POINT (11.6223218 50.9960912)",Hainichen,
"POINT (11.4850604 50.9362868)",Großschwabhausen,
"POINT (11.6556752 51.0221555)",Hirschroda,
"POINT (11.4789304 50.9589822)",Hohlstedt,
"POINT (11.5239307 50.9604418)",Isserstedt ,
"POINT (11.603435 50.8335331)",Jägersdorf ,
"POINT (11.587666 50.929044)",Jena,
"POINT (11.557363 50.904677)",Jena-Ammerbach,
"POINT (11.5928835 50.8968242)",Jena-Burgau,
"POINT (11.564824 50.9138247)",Jena-Lichtenhain,
"POINT (11.6150541 50.9522069)",Jena-Löbstedt,
"POINT (11.6004205 50.9324458)",Jena-Wenigenjena,
"POINT (11.5824757 50.8908479)",Jena-Winzerla,
"POINT (11.6251408 50.91979930000001)",Jena-Ziegenhain,
"POINT (11.6130378 50.9593915)",Jena-Zwätzen,
"POINT (11.6919796 50.9483624)",Jenalöbnitz,
"POINT (11.6508545 50.9274953)",Jenaprießnitz,
"POINT (11.6978108 50.9257398)",Kleinlöbichau,
"POINT (11.5506925 50.9754526)",Krippendorf,
"POINT (11.6354764 50.9553986)",Kunitz,
"POINT (11.4851509 50.9621545)",Kötschau,
"POINT (11.5653651 50.86984289999999)",Leutra,
"POINT (11.5797025 50.982111)",Lehesten,
"POINT (11.6086031 50.890534)",Lobeda,
"POINT (11.7007107 50.96588939999999)",Löberschütz,
"POINT (11.5534995 50.9596315)",Lützeroda,
"POINT (11.786693 50.9923707)",Mertendorf,
"POINT (11.5414837 50.88962919999999)",Nennsdorf ,
"POINT (11.5940008 50.99127589999999)",Nerkewitz,
"POINT (11.6491149 50.9871391)",Neuengönna,
"POINT (11.5124695 50.92992019999999)",Münchenroda,
"POINT (11.6026532 50.84753990000001)",Rothenstein,
"POINT (11.5454424 50.8792608)",Oßmaritz,
"POINT (11.7963436 51.0061068)",Poppendorf,
"POINT (11.7437578 50.9610723)",Poxdorf,
"POINT (11.6005309 50.979921)",Rödigen,
"POINT (11.7181455 50.9353847)",Rodigast,
"POINT (11.6216957 50.8752898)",Rutha,
"POINT (11.6926271 51.0113799)",Steudnitz,
"POINT (11.602192 50.9989915)",Stiebritz,
"POINT (11.7080316 50.94370920000001)",Taupadel,
"POINT (11.714 50.9922129)",Tautenburg,
"POINT (11.7502156 50.9351508)",Thalbürgel,
"POINT (11.5362873 50.972946)",Vierzehnheiligen,
"POINT (11.7667728 51.0009984)",Wetzdorf ,
"POINT (11.5933263 50.90480789999999)",Wöllnitz,
"POINT (11.6247038 51.0066856)",Zimmern,
"POINT (11.6284307 50.76724720000001)",Hummelshain,
"POINT (11.6067428 50.7755964)",Schmölln,
"POINT (11.5757824 50.7860467)",Kleineutersdorf,
"POINT (11.5636203 50.78987549999999)",Großeutersdorf,
"POINT (11.5912827 50.8208617)",Großpürschütz,
"POINT (11.5893992 50.80170519999999)",Kahla,
"POINT (11.5925935 50.7976804)",Kahla-Löbschütz,
"POINT (11.4184337 50.83869809999999)",Keßlar,
"POINT (11.6006529 50.7893167)",Lindig,
